city_id,city,lat,lon,mean_feels_like,mean_pop
0,Cassis,43.2140359,5.5396318,19,0.0
1,Collioure,42.52505,3.0831554,19,0.0
2,Carcassonne,43.2130358,2.3491069,19,0.0
3,Marseille,43.2961743,5.3699525,18,0.0
4,Aix en Provence,43.5298424,5.4474738,18,0.0
5,Saintes Maries de la mer,43.4522771,4.4287172,18,0.0
6,Grenoble,45.1875602,5.7357819,17,0.0
7,Lyon,45.7578137,4.8320114,16,0.0
8,Paris,48.8588897,2.3200410217200766,15,0.0
9,Gorges du Verdon,43.7496562,6.3285616,15,0.0
10,Amiens,49.8941708,2.2956951,14,0.0
11,Lille,50.6365654,3.0635282,14,0.0
12,Eguisheim,48.0447968,7.3079618,14,0.0
13,Annecy,45.8992348,6.1288847,14,0.0
14,Colmar,48.0777517,7.3579641,13,0.0
15,Ariege,42.9455368,1.4065544156065486,13,0.0
16,Strasbourg,48.584614,7.7507127,12,0.0
17,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,10,0.0
18,Biarritz,43.471143749999996,-1.552726590666314,19,0.5
19,Bayonne,43.4945144,-1.4736657,19,0.5
20,Bormes les Mimosas,43.1506968,6.3419285,18,0.5
21,Avignon,43.9492493,4.8059012,18,0.5
22,Toulouse,43.6044622,1.4442469,18,0.5
23,Montauban,44.0175835,1.3549991,18,0.5
24,Uzes,44.0121279,4.4196718,17,0.5
25,Nimes,43.8374249,4.3600687,17,0.5
26,Aigues Mortes,43.5658225,4.1912837,17,0.5
27,La Rochelle,46.1591126,-1.1520434,16,0.5
28,Besancon,47.2380222,6.0243622,15,0.5
29,Mont Saint Michel,48.6359541,-1.511459954959514,14,0.5
30,St Malo,48.649518,-2.0260409,14,0.5
31,Bayeux,49.2764624,-0.7024738,14,0.5
32,Le Havre,49.4938975,0.1079732,14,0.5
33,Rouen,49.4404591,1.0939658,14,0.5
34,Dijon,47.3215806,5.0414701,13,0.5
